rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0070.jpg,28.0,0.7873,0.6947,0.8,1.0,4,4,False,True
2,frame_0024.jpg,9.6,0.7347,0.9494,0.2,1.0,1,1,False,True
3,frame_0376.jpg,150.4,0.7147,0.7653,1.0,0.16,6,5,False,True
4,frame_0073.jpg,29.2,0.7052,0.5305,0.8,1.0,5,4,False,False
5,frame_0071.jpg,28.4,0.6976,0.6352,0.6,1.0,4,3,False,False
6,frame_0287.jpg,114.8,0.6943,0.6366,0.8,0.68,4,4,False,True
7,frame_0125.jpg,50.0,0.6712,0.5744,0.8,0.72,5,4,False,True
8,frame_0122.jpg,48.8,0.6598,0.5996,0.8,0.6,4,4,False,False
9,frame_0033.jpg,13.2,0.657,0.434,0.8,1.0,5,4,False,True
10,frame_0069.jpg,27.6,0.6543,0.4286,0.8,1.0,5,4,False,False
11,frame_0206.jpg,82.4,0.652,0.0,0.0,0.76,0,0,True,True
12,frame_0205.jpg,82.0,0.644,0.0,0.0,0.72,0,0,True,False
13,frame_0208.jpg,83.2,0.644,0.864,0.2,0.76,1,1,False,False
14,frame_0129.jpg,51.6,0.6411,0.6902,0.4,0.88,4,2,False,False
15,frame_0289.jpg,115.6,0.6365,0.7291,0.4,0.76,3,2,False,False
16,frame_0291.jpg,116.4,0.6341,0.4521,0.8,0.84,6,4,False,False
17,frame_0068.jpg,27.2,0.6311,0.5023,0.6,1.0,3,3,False,False
18,frame_0074.jpg,29.6,0.629,0.498,0.6,1.0,6,3,False,False
19,frame_0079.jpg,31.6,0.624,0.4479,0.8,0.8,5,4,False,True
20,frame_0087.jpg,34.8,0.6212,0.8104,0.4,0.48,2,2,False,True
21,frame_0130.jpg,52.0,0.6198,0.5115,0.6,0.92,3,3,False,True
22,frame_0231.jpg,92.4,0.6118,0.5596,1.0,0.16,6,5,False,True
23,frame_0126.jpg,50.4,0.6086,0.4332,0.8,0.76,5,4,False,False
24,frame_0295.jpg,118.0,0.6085,0.585,0.6,0.68,4,3,False,True
25,frame_0282.jpg,112.8,0.606,0.9,0.2,0.48,1,1,False,False
26,frame_0015.jpg,6.0,0.6018,0.4435,0.6,1.0,4,3,False,False
27,frame_0169.jpg,67.6,0.6014,0.5148,0.8,0.52,5,4,False,False
28,frame_0199.jpg,79.6,0.596,0.0,0.0,0.48,0,0,True,False
29,frame_0329.jpg,131.6,0.5912,0.6703,0.8,0.08,6,4,False,False
30,frame_0031.jpg,12.4,0.588,0.416,0.6,1.0,5,3,False,False
31,frame_0025.jpg,10.0,0.5874,0.6548,0.2,1.0,1,1,False,False
32,frame_0218.jpg,87.2,0.585,0.786,0.4,0.36,2,2,False,False
33,frame_0000.jpg,0.0,0.5849,0.4098,0.6,1.0,5,3,False,False
34,frame_0328.jpg,131.2,0.5829,0.5338,1.0,0.08,8,5,False,False
35,frame_0306.jpg,122.4,0.5814,0.5868,0.8,0.24,6,4,False,False
36,frame_0072.jpg,28.8,0.5804,0.5208,0.4,1.0,5,2,False,False
37,frame_0197.jpg,78.8,0.58,0.0,0.0,0.4,0,0,True,False
38,frame_0281.jpg,112.4,0.5784,0.7408,0.4,0.44,2,2,False,False
39,frame_0210.jpg,84.0,0.5777,0.6434,0.4,0.68,2,2,False,False
40,frame_0085.jpg,34.0,0.5768,0.8096,0.2,0.56,1,1,False,False
41,frame_0284.jpg,113.6,0.5709,0.5578,0.6,0.56,5,3,False,False
42,frame_0077.jpg,30.8,0.5671,0.5422,0.4,0.88,5,2,False,False
43,frame_0293.jpg,117.2,0.5655,0.467,0.6,0.76,4,3,False,False
44,frame_0297.jpg,118.8,0.5604,0.5207,0.6,0.6,4,3,False,False
45,frame_0209.jpg,83.6,0.5602,0.5923,0.4,0.72,2,2,False,False
46,frame_0004.jpg,1.6,0.5592,0.3584,0.6,1.0,3,3,False,False
